nihil: 12?
nihil: 14?
nihil: 18?
nihil: 21?

Category		Text	Lineno	Column	Filename	Ival/Sval
--------------------------------------------------------------------------------
STRINGLIT			""" Read a random...		1		1		python3_scripts/audio_test.py		 Read a random .o...
NEWLINE			 		4		1		python3_scripts/audio_test.py		
IMPORT			import		5		1		python3_scripts/audio_test.py		
NAME			glob		5		8		python3_scripts/audio_test.py		
NEWLINE			 		5		1		python3_scripts/audio_test.py		
IMPORT			import		6		1		python3_scripts/audio_test.py		
NAME			librosa		6		8		python3_scripts/audio_test.py		
NEWLINE			 		6		1		python3_scripts/audio_test.py		
IMPORT			import		7		1		python3_scripts/audio_test.py		
NAME			os		7		8		python3_scripts/audio_test.py		
NEWLINE			 		7		1		python3_scripts/audio_test.py		
IMPORT			import		8		1		python3_scripts/audio_test.py		
NAME			pathlib		8		8		python3_scripts/audio_test.py		
NEWLINE			 		8		1		python3_scripts/audio_test.py		
IMPORT			import		9		1		python3_scripts/audio_test.py		
NAME			numpy		9		8		python3_scripts/audio_test.py		
AS			as		9		14		python3_scripts/audio_test.py		
NAME			np		9		17		python3_scripts/audio_test.py		
NEWLINE			 		9		1		python3_scripts/audio_test.py		
IMPORT			import		10		1		python3_scripts/audio_test.py		
NAME			soundfile		10		8		python3_scripts/audio_test.py		
AS			as		10		18		python3_scripts/audio_test.py		
NAME			sf		10		21		python3_scripts/audio_test.py		
NAME			root_dir		12		1		python3_scripts/audio_test.py		
EQUAL			=		12		10		python3_scripts/audio_test.py		
STRINGLIT			"mswc_microset/"		12		12		python3_scripts/audio_test.py		mswc_microset/
PYDEF			def		14		1		python3_scripts/audio_test.py		
NAME			get_all_files		14		5		python3_scripts/audio_test.py		
LPAR			(		14		18		python3_scripts/audio_test.py		
RPAR			)		14		19		python3_scripts/audio_test.py		
COLON			:		14		20		python3_scripts/audio_test.py		
NEWLINE			     		14		1		python3_scripts/audio_test.py		
INDENT			     		14		1		python3_scripts/audio_test.py		
NAME			files		15		5		python3_scripts/audio_test.py		
EQUAL			=		15		11		python3_scripts/audio_test.py		
NAME			glob		15		13		python3_scripts/audio_test.py		
DOT			.		15		17		python3_scripts/audio_test.py		
NAME			glob		15		18		python3_scripts/audio_test.py		
LPAR			(		15		22		python3_scripts/audio_test.py		
STRINGLIT			"data/*/0*.wav"		15		23		python3_scripts/audio_test.py		data/*/0*.wav
RPAR			)		15		38		python3_scripts/audio_test.py		
NEWLINE			     		15		1		python3_scripts/audio_test.py		
RETURN			return		16		5		python3_scripts/audio_test.py		
NAME			files		16		12		python3_scripts/audio_test.py		
PYDEF			def		18		1		python3_scripts/audio_test.py		
NAME			get_random_file		18		5		python3_scripts/audio_test.py		
LPAR			(		18		20		python3_scripts/audio_test.py		
RPAR			)		18		21		python3_scripts/audio_test.py		
COLON			:		18		22		python3_scripts/audio_test.py		
NEWLINE			     		18		1		python3_scripts/audio_test.py		
RETURN			return		19		5		python3_scripts/audio_test.py		
NAME			np		19		12		python3_scripts/audio_test.py		
DOT			.		19		14		python3_scripts/audio_test.py		
NAME			random		19		15		python3_scripts/audio_test.py		
DOT			.		19		21		python3_scripts/audio_test.py		
NAME			choice		19		22		python3_scripts/audio_test.py		
LPAR			(		19		28		python3_scripts/audio_test.py		
NAME			get_all_files		19		29		python3_scripts/audio_test.py		
LPAR			(		19		42		python3_scripts/audio_test.py		
RPAR			)		19		43		python3_scripts/audio_test.py		
